"","oro_type","year","y","component","variable_name"
"270","CDR-BC",1992,2,"Academic
(N publications)","Publications (N)"
"271","CDR-BC",1993,3,"Academic
(N publications)","Publications (N)"
"272","CDR-BC",1994,3,"Academic
(N publications)","Publications (N)"
"273","CDR-BC",1995,3,"Academic
(N publications)","Publications (N)"
"274","CDR-BC",1996,6,"Academic
(N publications)","Publications (N)"
"275","CDR-BC",1997,8,"Academic
(N publications)","Publications (N)"
"276","CDR-BC",1998,4,"Academic
(N publications)","Publications (N)"
"277","CDR-BC",1999,6,"Academic
(N publications)","Publications (N)"
"278","CDR-BC",2000,9,"Academic
(N publications)","Publications (N)"
"279","CDR-BC",2001,8,"Academic
(N publications)","Publications (N)"
"280","CDR-BC",2002,12,"Academic
(N publications)","Publications (N)"
"281","CDR-BC",2003,8,"Academic
(N publications)","Publications (N)"
"282","CDR-BC",2004,12,"Academic
(N publications)","Publications (N)"
"283","CDR-BC",2005,11,"Academic
(N publications)","Publications (N)"
"284","CDR-BC",2006,6,"Academic
(N publications)","Publications (N)"
"285","CDR-BC",2007,16,"Academic
(N publications)","Publications (N)"
"286","CDR-BC",2008,22,"Academic
(N publications)","Publications (N)"
"287","CDR-BC",2009,26,"Academic
(N publications)","Publications (N)"
"288","CDR-BC",2010,32,"Academic
(N publications)","Publications (N)"
"289","CDR-BC",2011,41,"Academic
(N publications)","Publications (N)"
"290","CDR-BC",2012,56,"Academic
(N publications)","Publications (N)"
"291","CDR-BC",2013,82,"Academic
(N publications)","Publications (N)"
"292","CDR-BC",2014,106,"Academic
(N publications)","Publications (N)"
"293","CDR-BC",2015,107,"Academic
(N publications)","Publications (N)"
"294","CDR-BC",2016,151,"Academic
(N publications)","Publications (N)"
"295","CDR-BC",2017,178,"Academic
(N publications)","Publications (N)"
"296","CDR-BC",2018,245,"Academic
(N publications)","Publications (N)"
"297","CDR-BC",2019,274,"Academic
(N publications)","Publications (N)"
"298","CDR-BC",2020,301,"Academic
(N publications)","Publications (N)"
"299","CDR-BC",2021,334,"Academic
(N publications)","Publications (N)"
"300","CDR-BC",2022,394,"Academic
(N publications)","Publications (N)"
"301","CDR-BC",2023,37,"Academic
(N publications)","Publications (N)"
"302","CCS",1997,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"303","CCS",1999,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"304","CCS",2001,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"305","CCS",2004,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"306","CCS",2005,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"307","CCS",2007,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"308","CCS",2008,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"309","CCS",2009,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"310","CCS",2010,7,"Non-binding policy
(N documents)","Non-binding policy (N)"
"311","CCS",2011,8,"Non-binding policy
(N documents)","Non-binding policy (N)"
"312","CCS",2012,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"313","CCS",2013,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"314","CCS",2014,7,"Non-binding policy
(N documents)","Non-binding policy (N)"
"315","CCS",2015,21,"Non-binding policy
(N documents)","Non-binding policy (N)"
"316","CCS",2016,16,"Non-binding policy
(N documents)","Non-binding policy (N)"
"317","CCS",2017,16,"Non-binding policy
(N documents)","Non-binding policy (N)"
"318","CCS",2018,15,"Non-binding policy
(N documents)","Non-binding policy (N)"
"319","CCS",2019,18,"Non-binding policy
(N documents)","Non-binding policy (N)"
"320","CCS",2020,24,"Non-binding policy
(N documents)","Non-binding policy (N)"
"321","CCS",2021,17,"Non-binding policy
(N documents)","Non-binding policy (N)"
"322","CCS",2022,10,"Non-binding policy
(N documents)","Non-binding policy (N)"
"323","CCS",2023,7,"Non-binding policy
(N documents)","Non-binding policy (N)"
"324","CCS",2024,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"325","CDR-BC",1982,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"326","CDR-BC",1990,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"327","CDR-BC",1991,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"328","CDR-BC",1995,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"329","CDR-BC",1997,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"330","CDR-BC",1998,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"331","CDR-BC",1999,9,"Non-binding policy
(N documents)","Non-binding policy (N)"
"332","CDR-BC",2000,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"333","CDR-BC",2001,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"334","CDR-BC",2002,10,"Non-binding policy
(N documents)","Non-binding policy (N)"
"335","CDR-BC",2003,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"336","CDR-BC",2004,7,"Non-binding policy
(N documents)","Non-binding policy (N)"
"337","CDR-BC",2005,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"338","CDR-BC",2006,8,"Non-binding policy
(N documents)","Non-binding policy (N)"
"339","CDR-BC",2007,14,"Non-binding policy
(N documents)","Non-binding policy (N)"
"340","CDR-BC",2008,15,"Non-binding policy
(N documents)","Non-binding policy (N)"
"341","CDR-BC",2009,11,"Non-binding policy
(N documents)","Non-binding policy (N)"
"342","CDR-BC",2010,12,"Non-binding policy
(N documents)","Non-binding policy (N)"
"343","CDR-BC",2011,26,"Non-binding policy
(N documents)","Non-binding policy (N)"
"344","CDR-BC",2012,20,"Non-binding policy
(N documents)","Non-binding policy (N)"
"345","CDR-BC",2013,27,"Non-binding policy
(N documents)","Non-binding policy (N)"
"346","CDR-BC",2014,35,"Non-binding policy
(N documents)","Non-binding policy (N)"
"347","CDR-BC",2015,57,"Non-binding policy
(N documents)","Non-binding policy (N)"
"348","CDR-BC",2016,49,"Non-binding policy
(N documents)","Non-binding policy (N)"
"349","CDR-BC",2017,48,"Non-binding policy
(N documents)","Non-binding policy (N)"
"350","CDR-BC",2018,46,"Non-binding policy
(N documents)","Non-binding policy (N)"
"351","CDR-BC",2019,37,"Non-binding policy
(N documents)","Non-binding policy (N)"
"352","CDR-BC",2020,32,"Non-binding policy
(N documents)","Non-binding policy (N)"
"353","CDR-BC",2021,31,"Non-binding policy
(N documents)","Non-binding policy (N)"
"354","CDR-BC",2022,30,"Non-binding policy
(N documents)","Non-binding policy (N)"
"355","CDR-BC",2023,20,"Non-binding policy
(N documents)","Non-binding policy (N)"
"356","CDR-BC",2024,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"357","CDR-BioPump",1991,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"358","CDR-BioPump",1997,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"359","CDR-BioPump",1999,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"360","CDR-BioPump",2000,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"361","CDR-BioPump",2001,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"362","CDR-BioPump",2002,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"363","CDR-BioPump",2003,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"364","CDR-BioPump",2004,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"365","CDR-BioPump",2005,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"366","CDR-BioPump",2006,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"367","CDR-BioPump",2007,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"368","CDR-BioPump",2008,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"369","CDR-BioPump",2009,5,"Non-binding policy
(N documents)","Non-binding policy (N)"
"370","CDR-BioPump",2010,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"371","CDR-BioPump",2011,9,"Non-binding policy
(N documents)","Non-binding policy (N)"
